id,name,origin_country
1,Columbia Pictures,US
2,RKO Radio Pictures,US
3,DreamWorks,US
4,Fine Line Features,US
5,Gaumont,US
6,WingNut Films,US
7,WingNut Films,
8,WingNut Films,FR
9,WingNut Films,NZ
11,WingNut Films,
12,The Selznik Studio,US
13,NPV Entertainment,US
14,The Selznik Studio,US
18,NPV Entertainment,
23,The Selznik Studio,US
24,BBC Films,US
27,The Weinstein Company,
28,Soficinéma,DE
30,Brillstein-Grey Entertainment,ES
32,MTM Cineteve,
33,Riofilm,US
34,Constellation Films,US
35,AZL Productions KG,US
37,The Selznik Studio,
41,M6 Films,US
42,Empire Pictures,DK
43,Spyglass Entertainment,
44,Intrepid Pictures,US
46,Alliance Communications,US
47,Hachette Première,
49,Brillstein-Grey Entertainment,
53,Sneak Preview Entertainment,US
54,MTM Cineteve,
56,Las Producciones del Escorpion,FR
58,Overseas FilmGroup,DK
59,AZL Productions KG,
60,United Artists,
62,The Selznik Studio,
64,Jerry Bruckheimer Films,US
68,Distant Horizons,
69,Gordon Company,
70,M6 Films,
76,Empire Pictures,
77,Spyglass Entertainment,US
79,Intrepid Pictures,
80,ARD,DE
81,Alliance Communications,GB
82,Pariah Entertainment Group,CA
83,Tig Productions,US
84,Brillstein-Grey Entertainment,
85,Raw Nerve,US
86,Next Entertainment,US
88,Nina Saxon Film Design,
97,Sneak Preview Entertainment,
98,MTM Cineteve,FR
100,Nouvelles Éditions de Films (NEF),
104,Noble Nomad Pictures,DE
118,Toho Company,
119,Overseas FilmGroup,SE
120,Lefwander Kapitalförvaltning AB,GB
125,Reaper Productions,US
126,Legendary Pictures,DE
127,Lunar Films,FR
129,Golden Harvest Pictures,PL
130,Jerry Bruckheimer Films,
134,Totally Independent,
135,Cinerenta Medienbeteiligungs KG,DE
136,Rival Pictures,DE
145,Distant Horizons,
146,Gordon Company,
147,M6 Films,GB
148,Gimages,
149,Adam Fields Productions,GB
150,Famous Players Ltd,
152,Pathé Pictures International,GB
156,Rising Star,
157,Filmax,
158,Spyglass Entertainment,
159,Baby Cow Productions,US
160,Intrepid Pictures,US
161,ARD,FR
163,Alliance Communications,
164,Taewon Entertainment,
171,Tig Productions,
172,Brillstein-Grey Entertainment,DE
174,Raw Nerve,
175,Next Entertainment,
178,Dynamo,BR
179,Nina Saxon Film Design,
181,Starbucks Entertainment,
182,Broadway Video,ES
183,Turner Pictures,FR
185,Dentsu Inc.,FR
186,Smoke House,ES
191,The Rank Organisation,
194,Splendid Pictures,
195,Bórd Scannán na hÉireann,
200,Sneak Preview Entertainment,
201,MTM Cineteve,
204,Novo RPI,
205,Nouvelles Éditions de Films (NEF),
206,Twisted Pictures,
208,Melvin Simon Productions,FR
209,Mr. Mudd Production,
210,Edko Films,
212,Collision Entertainment,
213,Outerbanks Entertainment,KR
214,MGM Television,
215,Trilogy Entertainment Group,
216,Maguire Entertainment,
218,Magidson Films,
219,AR Films,US
223,Silver Nitrate Films,
224,Bold Films,US
225,Eden Rock Media,
234,Nickelodeon Movies,GB
235,Hirsch,US
236,Stéphan Films,
240,Toho Company,
242,Overseas FilmGroup,
245,Lefwander Kapitalförvaltning AB,
246,The Kushner-Locke Company,GB
247,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG,
248,Revelations Entertainment,
250,Hollywood Pictures,
251,Gold Circle Films,
254,Legendary Pictures,
255,Lunar Films,
258,Unified Pictures,US
260,Intandem Films,US
261,Gerber Pictures,US
264,Mace Neufeld Productions,
265,Cube Vision,
266,Warner Bros. Animation,
267,Columbia Pictures Film Production Asia,GB
268,Cinerenta Medienbeteiligungs KG,
269,Rival Pictures,
270,Filmförderanstalt (FFA),
271,Filmkameratene A/S,
278,Franton Production,
279,Forge,
280,Signature Pictures,US
282,Present Pictures,
283,Brightlight Pictures,
284,TV Tokyo,
285,Distant Horizons,
286,Internationale Filmproduktion Stella-del-Süd,JP
288,M6 Films,GB
289,Senator Entertainment Co,DE
290,Adam Fields Productions,
291,Famous Players Ltd,
294,Larger Than Life Productions,
297,Pathé Pictures International,US
299,Michael London Productions,
300,Thunder Road Pictures,
301,Endgame Entertainment,US
303,Film Workshop,US
304,Filmax,
306,Zenith Entertainment,
307,Baby Cow Productions,
308,Intrepid Pictures,JP
310,ARD,
311,The Ultimate Gift LLC,US
312,Alliance Communications,
313,Taewon Entertainment,
315,Triangle Film Corporation,
316,Rainforest Films,
321,Killer Films,
326,DJ Films,
328,Wayfare Entertainment,
333,The Mark Gordon Company,
335,Tig Productions,
336,Biograf Jan Svěrák,NZ
337,Gold/Miller Productions,
341,Raw Nerve,
342,Next Entertainment,US
343,Zanuck Independent,
345,New Oz Productions,
346,Dynamo,
347,Nina Saxon Film Design,
348,Bavaria Film,KR
349,Long Distance Films,GB
353,Broadway Video,
354,Turner Pictures,FR
355,Pathe,US
356,Dentsu Inc.,
357,Smoke House,
358,Dark Castle Entertainment,
359,Cofinova 6,DE
